,0
104,"8721213 | n-methyltyramine | Given orally, both substances influence the monoamine oxidase type A (MAO-A): N-methyltyramine acts as a competitive substrate, and 2-Me THBC is one of the most effective MAO-A-inhibitors."
105,"11063613 | daidzin | This, together with the finding that daidzin does not affect the rates of mitochondria-catalyzed oxidative deamination of these monoamines, raised the possibility that the ethanol intake-suppressive (antidipsotropic) action of daidzin is not mediated by the monoamines but rather by their reactive biogenic aldehyde intermediates such as 5-hydroxyindole-3-acetaldehyde (5-HIAL) and/or 3,4-dihydroxyphenylacetaldehyde (DOPAL) which accumulate in the presence of daidzin."
106,"11063613 | daidzin | To further evaluate this possibility, we synthesized more structural analogues of daidzin and tested and compared their antidipsotropic activities in Syrian golden hamsters with their effects on monoamine metabolism in isolated hamster liver mitochondria using 5-HT as the substrate."
107,"11063613 | daidzin | Effects of daidzin and its structural analogues on the activities of monoamine oxidase (MAO) and ALDH-2, the key enzymes involved in 5-HT metabolism in the mitochondria, were also examined."
108,12939789 | daidzin | A link between daidzin's capacity to reduce alcohol consumption and its ability to increase liver mitochondrial monoamine oxidase (MAO): aldehyde dehydrogenase (ALDH-2) activity ratio has been established.
109,"11306106 | daidzin | Using isolated hamster liver mitochondria and 5-hydroxytryptamine (5-HT) and dopamine (DA) as the substrates, we demonstrated that daidzin inhibits the second but not the first step of the MAO/ALDH-2 pathway, the major pathway that catalyzes monoamine metabolism in mitochondria."
110,11306106 | daidzin | Correlation studies using structural analogs of daidzin led to the hypothesis that the mitochondrial MAO/ALDH-2 pathway may be the site of action of daidzin and that one or more biogenic aldehydes such as 5-hydroxyindole-3-acetaldehyde (5-HIAL) and/or DOPAL derived from the action of monoamine oxidase (MAO) may be mediators of its antidipsotropic action.
111,12927869 | daidzin | Correlation studies using structural analogues of daidzin suggests that it acts by raising the monoamine oxidase (MAO)/mitochondrial aldehyde dehydrogenase (ALDH-2) activity ratio (J. Med.
112,"11563931 | daidzin | Further, we have identified the monoamine oxidase (MAO)-aldehyde dehydrogenase (ALDH-2) pathway of the mitochondria as the potential site of action of daidzin."
113,902735 | malic acid | In experiments on guinea pigs it is shown that a preliminary intraperitoneal administration of monoamine oxidase inhibitors (MAOI) -- transamine (10 mg/kg) or malic acid benzyldihydrazide (50 mg/kg) antagonizes the local anesthetic action of celnovocaine (CC) and novocaine (NC).
114,21938908 | coregonus | Study of substrate-inhibitory specificity of liver mitochondrial monoamine oxidase (MAO) of sexually mature individuals of the whitefish Coregonus lavaretus ludoga P. from the Ladoga Lake has revealed distinguished peculiarities of catalytical properties of this enzyme.
115,21469337 | coregonus | There is performed a comparative analysis of action of four acridine derivatives and of one xanthene derivative (pyronine G) on activity of liver monoamine oxidase (MAO) of two species of poikilothermal freshwater animals: a representative of amphibians--the common frog Rana temnporaria and a representative of the order Salmonidae--the European whitefish Coregonus lavaretus.
116,"16458520 | farnesylacetone | Our previous efforts on cured tobacco leaf extracts have led to the characterization of 2,3,6-trimethyl-1,4-naphthoquinone, a non-selective monoamine oxidase inhibitor, and farnesylacetone, a selective monoamine oxidase B inhibitor."
117,"4371901 | tryptophol | 1 The effect of a wide range of ethanol concentrations (v/v) on indoleacetic acid (IAA) formation from the oxidative deamination of tryptamine was studied in vitro, in rat whole liver homogenate.2 IAA production was inhibited progressively by ethanol in concentrations between 0.01% to 0.2%, but the inhibition declined when the ethanol concentration was increased further to 6%.3 Ethanol-induced inhibition of IAA formation was only partially reversed by excess aldehyde dehydrogenase, whereas reductions in IAA formation were completely prevented by pyrazole or ethanol (6% and 10%) itself.4 Excess nicotinamide adenine dinucleotide failed to alter the inhibitory effect of ethanol and no evidence was obtained for inhibition of monoamine oxidase by ethanol or its metabolite, acetaldehyde.5 We conclude that ethanol indirectly inhibits IAA production as a result of oxidation of ethanol by alcohol dehydrogenase, during which the oxidative metabolism of tryptamine is shifted towards the reductive pathway, thus favouring the formation of tryptophol in place of IAA."
118,"2873956 | rainbow trout | Monoamine oxidase (MAO) activity was determined fluorometrically in brain, intestine, kidney and liver tissues of the rainbow trout, Salmo gairdneri."
119,"23816060 | hypericin | Hypericin, originally described as a monoamine oxidase inhibitor type A, was thought to be responsible for the antidepressant properties of SJW extracts."
120,"11714358 | quercitrin | The IC(50) values of the four potent flavonoids, quercitrin, isoquercitrin, rutin, and quercetin on monoamine oxidase were 19.06, 11.64, 3.89, and 10.89 microM and enzyme kinetics analysis revealed apparent inhibition constants (K(i)) of 21.01, 2.72, 1.83, and 7.95 microM, respectively, on the substrate, benzylamine."
